Scout #1: 16, na
Scout #2: 14, na
Herbalist: 206, na
Scribe: 12, na
Oyaji: 215, m
Spectators: 6, na
Painter: 33, na
Fangirls: 2, f
Koko: 31, f
Little Girl: 4, f
Dealer: 71, na
Town authority: 32, na
Zei: 442, m
Oh: 112, m
Pirate captain: 140, na
Pirate: 14, na
Together: 1, na
Fong: 366, m
Oracle: 42, na
Quon: 91, m
Pao: 73, m
Joo Dee: 479, f
Long Feng: 775, m
Old Sweepy: 79, m
Brainwasher: 18, na
Joo Dees: 18, f
Longshot: 13, m
Kanna: 161, f
Village girl: 9, f
Southern Water Tribe boy: 12, m
Village boy: 4, m
Baboon spirit: 20, na
Hahn: 137, m
Koh: 190, m
Arnook: 370, m
Village kids: 3, na
Southern Water Tribe girl: 8, f
Firebender: 11, na
Yagoda: 90, f
Eye-patch soldier: 6, na
Fire Nation soldier: 23, na
Old Fire Nation civilian: 16, na
Aang:: 11, m
Aang and Sokka: 3, m
Katara and Sokka: 1, na
Pet store owner: 36, na
University student: 42, na
Pong: 61, m
Customer: 40, na
Older guest: 6, na
Younger guest: 16, na
Guest: 12, na
Joo Dee replacement: 20, na
Water Tribe warrior: 5, na
Kuei: 540, m
General How: 106, m
Pathik: 1057, m
Yu: 192, m
Xin Fu: 299, m
Warrior: 9, na
Katara (flashback): 9, f
Royal messenger: 6, na
Flyer distribution man: 19, m
Male student: 74, m
Male student #2: 54, m
The Hippo: 3, na
Fire Nation Man: 20, m
Audience: 1, na
Lao: 212, m
Servant: 55, na
Poppy: 37, f
Peasant girl: 4, f
Broadsword man: 41, m
Princess Yue: 4, f
Weapons store shopkeeper: 34, na
Fat: 46, m
Piandao: 707, m
Captured agent: 28, na
Head of the Dai Li: 36, na
How: 4, m
Mongke: 66, m
Merchant: 28, na
Villagers: 4, na
Tong: 300, m
Villager #2: 25, na
Villager #3: 16, na
Scary prisoner: 45, na
Prisoner #2: 1, na
Sensitive ruffian: 12, na
Servant #1: 25, na
Servant #2: 8, na
Momo: 43, m
Appa: 33, m
Koala sheep: 12, na
Fire Nation watchman #1: 30, na
Fire Nation watchman #2: 9, na
Ember Island teenager #1: 17, na
Ember Island teenager #2: 21, na
Chan: 138, m
Ruon-Jian: 26, m
Ember Island teenager #3: 22, na
Fire Nation man: 36, m
Male soldier: 29, m
Kwan: 130, f
On Ji: 44, f
Hide: 57, m
Shoji: 51, m
Class: 41, na
Music teacher: 67, na
Headmaster: 153, na
Male student #1: 29, m
Male soldier #1: 1, m
Female student #1: 3, f
Female Student #1: 4, f
Student: 2, na
Palace woman: 1, f
Blue dragon: 37, na
Red dragon: 24, na
Agent: 27, na
June: 264, f
Jeong Jeong: 564, m
Li and Lo: 20, f
Fire Navy officer: 100, na
Firebenders: 3, na
Mother Superior: 80, f
Aunt Wu: 6, f
Ghashiun: 130, m
Sandbender #1: 13, na
Sandbender #2: 14, na
Merchant #1: 26, na
Merchant #2: 32, na
Trainer: 149, na
Unnamed Fire Nation boy: 15, m
Iio: 10, f
Kyoshi Warrior #1: 23, na
Kyoshi Warrior #2: 1, na
Dock: 211, m
Xu: 186, m
Little boy: 29, m
Dock/Xu: 35, m
Mung: 94, m
Villager #1: 2, na
Villager #4: 8, na
Painted Lady: 2, f
Aang and Zuko: 1, m
Sun Warrior chief: 359, na
Ham Ghao: 35, m
Sun Warrior: 15, n
Gan Jin tribesman: 182, m
Zhang leader: 449, na
Canyon guide: 257, na
Gan Jin leader: 328, na
Gan Jin Leader: 5, na
Gan Jin man: 6, m
Great Fire Sage: 86, na
Shyu: 335, m
Chong: 499, m
Moku: 33, m
Commander: 23, na
Team Avatar: 3, na
Song's mother: 27, f
Calm man: 176, m
Strange Man: 5, m
Meng: 179, f
Village Woman: 35, f
Poi and Ping: 1, m
Man: 62, m
Man with Red Shoes: 7, m
Poi: 3, m
Ping: 2, m
Young Katara: 31, f
Yon Rha: 151, m
Southern Raiders commander: 32, na
Yon Rha's mother: 45, f
Storyteller: 81, na
Colonists: 9, na
Both: 3, na
Girl: 2, f
Mask dealer: 7, na
Shop keeper: 6, na
Puppet Fire Lord: 11, na
Fire Nation kids: 4, na
Malu: 71, m
Citizen: 5, na
Chey: 212, m
Lin Yee: 28, m
Guard captain: 30, na
Tribal man: 4, m
Fung: 106, m
Man in the bar: 1, m
Florist: 23, na
White Lotus member: 19, na
Sha-Mo: 44, m
Sha-Mo:: 4, m
Fire Nation Captain: 9, na
Girl with umbrella: 6, f
Star: 17, f
Third girl: 3, f
Boy's mother: 4, f
Huge round angry face: 16, na
Tycho: 50, m
Kenji: 96, m
Young guest: 9, na
Adult guest: 8, na
Lady on stage: 15, f
Macmu-Ling: 52, f
Ladies: 3, f
Jin: 205, f
Haru's mother: 94, f
Tax collector: 29, na
